"Marca temporal","¿En que Ciudad y Barrio resides?","¿Con qué frecuencia utilizas un parqueadero?  ","¿Posees vehículo propio?","¿Sueles tener dificultades para encontrar parqueadero disponible? (Si no posees vehículo, piensa en las veces que sales con amigos, familiares, etc...)","¿Qué factores consideras importantes al elegir un parqueadero?   [Ubicación]","¿Qué factores consideras importantes al elegir un parqueadero?   [Precio]","¿Qué factores consideras importantes al elegir un parqueadero?   [Seguridad]","¿Qué factores consideras importantes al elegir un parqueadero?   [Disponibilidad Inmediata]","¿Qué factores consideras importantes al elegir un parqueadero?   [Experiencia del Propietario]","¿Estarías dispuesto a reservar y pagar un parqueadero desde una aplicación móvil?  ","¿Qué método de pago prefieres para este tipo de servicio?","¿Te genera confianza realizar pagos mediante PSE?  ","En caso de que uses una app para reservar un parqueadero ¿Te gustaría poder ver el historial de tus reservas?  ","¿Te parecería útil poder ver la calificación del arrendador antes de reservar?  ","Nombre (opcional)"
"2026/03/09 11:15:25 a.m. GMT-5","Bogotá, barrio Acapulco ","Casi Nunca","No.","A veces","5","5","5","5","5","Tal Vez","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","No","Sí","Sí","Paula Tatiana Díaz Saiz "
"2026/03/09 2:21:42 p.m. GMT-5","Verbenal","Ocasionalemte","No.","Sí","4","5","5","4","3","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí","Laurel"
"2026/03/09 2:24:06 p.m. GMT-5","Usaquen","Varias veces por Semana","Sí (Carro)","Sí","4","5","4","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Eduardo"
"2026/03/09 2:25:34 p.m. GMT-5","Bogotá D.C - Verbenal ","Ocasionalemte","No.","Sí","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Nicolas "
"2026/03/09 2:26:27 p.m. GMT-5","Bogota","Casi Nunca","Sí (Ambos)","Sí","5","5","5","4","3","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/09 2:26:54 p.m. GMT-5","Bogotá D.C - San Antonio","Varias veces por Semana","Sí (Carro)","Sí","4","4","5","5","4","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí","Mayerli"
"2026/03/09 2:28:16 p.m. GMT-5","Bogotá D.C- Verbenal Norte","Ocasionalemte","Sí (Carro)","Sí","5","5","5","5","5","Sí","Transferencia bancaria (PSE)","Sí","Sí","Sí","Leonardo"
"2026/03/09 2:29:13 p.m. GMT-5","Funza Cundinamarca ","Diario","Sí (Moto)","Sí","5","4","5","5","4","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","No","Sí","Sí",""
"2026/03/09 2:30:00 p.m. GMT-5"," La estrada ","Ocasionalemte","Sí (Moto)","Sí","5","4","5","5","5","Sí","Efectivo","No conozco PSE (O no se usarlo)","Sí","Sí","Julián "
"2026/03/09 2:32:03 p.m. GMT-5","Bogotá/ prado veraniego ","Ocasionalemte","Bicicleta ","A veces","4","4","4","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 2:33:48 p.m. GMT-5","Bogotá ","Varias veces por Semana","Bicicleta ","Sí","5","5","5","5","3","Tal Vez","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí",""
"2026/03/09 2:35:38 p.m. GMT-5","Bogotá, verbenal","Casi Nunca","No.","No","3","3","5","2","3","No","Efectivo","Sí","Sí","Sí",""
"2026/03/09 2:36:02 p.m. GMT-5"," Bogotá, Barrio verbenal","Ocasionalemte","Sí (Carro)","A veces","5","1","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","No conozco PSE (O no se usarlo)","Sí","Sí","Martha salinas "
"2026/03/09 2:36:16 p.m. GMT-5","Bogotá, Valle de Usaquén ","Ocasionalemte","Sí (Carro)","A veces","4","4","5","4","4","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Leonardo Roncancio "
"2026/03/09 2:37:11 p.m. GMT-5","Bogotá, san antonio","Diario","Sí (Ambos)","No","5","5","5","5","5","Tal Vez","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","GIAN CARLOS CALDERON OYOLA"
"2026/03/09 2:40:21 p.m. GMT-5","Bogotá barrio san Antonio Norte","Ocasionalemte","Sí (Carro)","A veces","5","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","No conozco PSE (O no se usarlo)","Sí","Sí","Mayerly Roncancio"
"2026/03/09 2:59:26 p.m. GMT-5","Bogotá portales del norte ","Diario","Sí (Moto)","A veces","5","5","5","5","5","No","Transferencia bancaria (PSE)","Sí","Sí","Sí",""
"2026/03/09 2:59:47 p.m. GMT-5","Bogotá Barrio timiza (kennedy)","Casi Nunca","No.","A veces","4","5","5","5","5","Sí","Billeteras Dígitales (Nequi, Paypal, Daviplata, etc...)","Sí","Sí","Sí","Manuela"
